Myrmornis torquata
Gymnopithys leucaspis
Phaenostictus mcleannani
Pittasoma michleri
Grallaria guatimalensis
Hylopezus perspicillatus
Hylopezus dives
Grallaricula flavirostris
Scytalopus panamensis
Scytalopus chocoensis
Scytalopus argentifrons
Formicarius analis
Formicarius nigricapillus
Formicarius rufipectus
Sclerurus mexicanus
Sclerurus albigularis
Sclerurus guatemalensis
Synallaxis albescens
Synallaxis brachyura
Synallaxis erythrothorax
Cranioleuca erythrops
Cranioleuca vulpina
Xenerpestes minlosi
Premnoplex brunnescens
Margarornis bellulus
Margarornis rubiginosus
Pseudocolaptes lawrencii
Hyloctistes subulatus
Syndactyla subalaris
Anabacerthia variegaticeps
Philydor fuscipenne
Philydor rufum
Automolus ochrolaemus
Automolus rubiginosus
Thripadectes rufobrunneus
Xenops minutus
Xenops rutilans
Lochmias nematura
Dendrocincla fuliginosa
Dendrocincla anabatina
Dendrocincla homochroa
Sittasomus griseicapillus
Deconychura longicauda
Glyphorynchus spirurus
Xiphocolaptes promeropirhynchus
Dendrocolaptes sanctithomae
Dendrocolaptes picumnus
Xiphorhynchus picus
Xiphorhynchus susurrans
Xiphorhynchus flavigaster
Xiphorhynchus lachrymosus
Xiphorhynchus erythropygius
Lepidocolaptes leucogaster
Lepidocolaptes souleyetii
Lepidocolaptes affinis
Campylorhamphus trochilirostris
Campylorhamphus pusillus
Ornithion semiflavum
Ornithion brunneicapillus
Camptostoma imberbe
Camptostoma obsoletum
Phaeomyias murina
Nesotriccus ridgwayi
Capsiempis flaveola
Tyrannulus elatus
Myiopagis gaimardii
Myiopagis caniceps
Myiopagis cotta
Myiopagis viridicata
Elaenia martinica
Elaenia flavogaster
Elaenia albiceps
Elaenia chiriquensis
Elaenia frantzii
Elaenia fallax
Serpophaga cinerea
Mionectes olivaceus
Mionectes oleagineus
Leptopogon amaurocephalus
Leptopogon superciliaris
Phylloscartes flavovirens
Phylloscartes superciliaris
Phyllomyias burmeisteri
Phyllomyias griseiceps
Zimmerius vilissimus
Sublegatus arenarum
Pseudotriccus pelzelni
Myiornis atricapillus
Lophotriccus pileatus
Lophotriccus pilaris
Oncostoma cinereigulare
Oncostoma olivaceum
Poecilotriccus sylvia
Todirostrum cinereum
Todirostrum nigriceps
Cnipodectes subbrunneus
Rhynchocyclus brevirostris
Rhynchocyclus olivaceus
Tolmomyias sulphurescens
Tolmomyias assimilis
Tolmomyias flaviventris
Platyrinchus cancrominus
Platyrinchus mystaceus
Platyrinchus coronatus
Onychorhynchus coronatus
Terenotriccus erythrurus
Myiobius villosus
Myiobius sulphureipygius
Myiobius atricaudus
Myiophobus fasciatus
Lathrotriccus euleri
Aphanotriccus capitalis
Aphanotriccus audax
Xenotriccus callizonus
Xenotriccus mexicanus
Mitrephanes phaeocercus
Contopus cooperi
Contopus pertinax
Contopus lugubris
Contopus ochraceus
Contopus sordidulus
Contopus virens
Contopus cinereus
Contopus caribaeus
Contopus pallidus
Contopus hispaniolensis
Contopus latirostris
Empidonax flaviventris
Empidonax virescens
Empidonax alnorum
Empidonax traillii
Empidonax albigularis
Empidonax minimus
Empidonax hammondii
Empidonax wrightii
Empidonax oberholseri
Empidonax affinis
Empidonax difficilis
Empidonax occidentalis
Empidonax flavescens
Empidonax fulvifrons
Empidonax atriceps
Sayornis nigricans
Sayornis phoebe
Sayornis saya
Pyrocephalus rubinus
Fluvicola pica
Colonia colonus
Machetornis rixosa
Attila spadiceus
Sirystes sibilator
Rhytipterna holerythra
Myiarchus yucatanensis
Myiarchus barbirostris
Myiarchus tuberculifer
Myiarchus panamensis
Myiarchus cinerascens
Myiarchus nuttingi
Myiarchus crinitus
Myiarchus tyrannulus
Myiarchus nugator
Myiarchus validus
Myiarchus sagrae
Myiarchus stolidus
Myiarchus antillarum
Myiarchus oberi
Deltarhynchus flammulatus
Pitangus lictor
Pitangus sulphuratus
Megarynchus pitangua
Myiozetetes cayanensis
Myiozetetes similis
Myiozetetes granadensis
Conopias albovittatus
Myiodynastes hemichrysus
Myiodynastes chrysocephalus
Myiodynastes maculatus
Myiodynastes luteiventris
Legatus leucophaius
Empidonomus varius
Empidonomus aurantioatrocristatus
Tyrannus melancholicus
Tyrannus couchii
Tyrannus vociferans
Tyrannus crassirostris
Tyrannus verticalis
Tyrannus tyrannus
Tyrannus dominicensis
Tyrannus caudifasciatus
Tyrannus cubensis
Tyrannus forficatus
Tyrannus savana
Piprites griseiceps
Schiffornis turdina
Laniocera rufescens
Tityra semifasciata
Tityra inquisitor
Pachyramphus versicolor
Pachyramphus rufus
Pachyramphus cinnamomeus
Pachyramphus polychopterus
Pachyramphus albogriseus
Pachyramphus major
Pachyramphus aglaiae
Pachyramphus homochrous
Pachyramphus niger
Querula purpurata
Cephalopterus glabricollis
Cotinga amabilis
Cotinga ridgwayi
Cotinga nattererii
Lipaugus unirufus
Procnias tricarunculatus
Carpodectes hopkei
Carpodectes antoniae
Carpodectes nitidus
Chloropipo holochlora
Manacus candei
Manacus aurantiacus
Manacus vitellinus
Corapipo altera
Chiroxiphia lanceolata
Chiroxiphia linearis
Pipra pipra
Pipra coronata
Pipra erythrocephala
Pipra mentalis
Oxyruncus cristatus
Lanius cristatus
Lanius ludovicianus
Lanius excubitor
Vireo brevipennis
Vireo griseus
Vireo crassirostris
Vireo pallens
Vireo bairdi
Vireo caribaeus
Vireo modestus
Vireo gundlachii
Vireo latimeri
Vireo nanus
Vireo bellii
Vireo atricapilla
Vireo nelsoni
Vireo vicinior
Vireo osburni
Vireo flavifrons
Vireo plumbeus
Vireo cassinii
Vireo solitarius
Vireo carmioli
Vireo huttoni
Vireo hypochryseus
Vireo gilvus
Vireo leucophrys
Vireo philadelphicus
Vireo olivaceus
Vireo flavoviridis
Vireo altiloquus
Vireo magister
Hylophilus flavipes
Hylophilus ochraceiceps
Hylophilus aurantiifrons
Hylophilus decurtatus
Vireolanius melitophrys
Vireolanius pulchellus
Vireolanius eximius
Cyclarhis gujanensis
Perisoreus canadensis
Cyanolyca mirabilis
Cyanolyca nana
Cyanolyca pumilo
Cyanolyca argentigula
Cyanolyca cucullata
Calocitta colliei
Calocitta formosa
Psilorhinus morio
