126	Black-and-white Tanager	278703963824673544280186472341737590257	2015-08-11 19:12:56	2015-08-11 19:12:56
127	Dark Pewee	285203350494490344772258204014385092416	2015-08-11 19:12:56	2015-08-11 19:12:56
128	Madagascar Magpie-Robin	31852332464978210804702325192241058337	2015-08-11 19:12:56	2015-08-11 19:12:56
129	White-crowned Shama	8431522066297479050785688295797850310	2015-08-11 19:12:56	2015-08-11 19:12:56
130	Rollers	136443913854715773305901444577286698049	2015-08-11 19:12:57	2015-08-11 19:12:57
131	martins-pêcheurs	60139060307545967279688258024292273888	2015-08-11 19:12:57	2015-08-11 19:12:57
132	Blue Cuckooshrike	181165980737668137408244183164694425365	2015-08-11 19:12:57	2015-08-11 19:12:57
133	Grey Cuckooshrike	40896980773298364512342487233023433556	2015-08-11 19:12:58	2015-08-11 19:12:58
134	Blackish Cuckooshrike	73392057195285755695313535829372982481	2015-08-11 19:12:58	2015-08-11 19:12:58
135	Buru Cuckooshrike	98497107212477490630024078096948307981	2015-08-11 19:12:58	2015-08-11 19:12:58
136	Barred Cuckooshrike	178589729932861730129178178066055985495	2015-08-11 19:12:58	2015-08-11 19:12:58
137	McGregor's Cuckooshrike	8410554529002964714470102370296655376	2015-08-11 19:12:58	2015-08-11 19:12:58
138	White-winged Cuckooshrike	221053863308104738515939511005091978714	2015-08-11 19:12:59	2015-08-11 19:12:59
139	Bar-bellied Cuckooshrike	155693483400270416960175338052347513357	2015-08-11 19:12:59	2015-08-11 19:12:59
140	Northern Raven	279180565854763711284767199181051607102	2015-08-11 19:12:59	2015-08-11 19:12:59
141	grand corbeau	263361807047035792550218853253344504541	2015-08-11 19:12:59	2015-08-11 19:12:59
142	Cuervo común	76985104474545433650753864918481241626	2015-08-11 19:12:59	2015-08-11 19:12:59
143	Common Raven	157338284287497203808592335238450776847	2015-08-11 19:12:59	2015-08-11 19:12:59
144	Asian Quails	198700001442112811866461607726209678942	2015-08-11 19:12:59	2015-08-11 19:12:59
145	Yellow-knobbed Curassow	228583453320810351470350723911785205361	2015-08-11 19:12:59	2015-08-11 19:12:59
146	Corn Crakes	286065661737561540378208677461147075394	2015-08-11 19:12:59	2015-08-11 19:12:59
147	coucoua	327009653593402854121544862181821663780	2015-08-11 19:13:00	2015-08-11 19:13:00
148	Eurasian Cuckoos	330003579715926971377121551077536579383	2015-08-11 19:13:00	2015-08-11 19:13:00
149	Indian Cuckoo	175107676735368109654491129062712839614	2015-08-11 19:13:00	2015-08-11 19:13:00
150	Cream-colored Courser	228789324061156243400400546614260138089	2015-08-11 19:13:01	2015-08-11 19:13:01
151	Whooper Swan	339643252139911413123339861464612649363	2015-08-11 19:13:02	2015-08-11 19:13:02
152	Laughing Kookaburra	306293921287228268030115942741620960124	2015-08-11 19:13:02	2015-08-11 19:13:02
153	Chipe mejilla dorada	198500767437578562502877933725227924637	2015-08-11 19:13:05	2015-08-11 19:13:05
154	paruline à croupion jaune	304828427518320236255139107654437209531	2015-08-11 19:13:05	2015-08-11 19:13:05
155	paruline à gorge jaune	81150543090645903077376212559302245168	2015-08-11 19:13:06	2015-08-11 19:13:06
156	Palm Warbler	92977661373845291292408555233699428741	2015-08-11 19:13:06	2015-08-11 19:13:06
157	American Yellow Warbler	109754437416826336197870694119110830322	2015-08-11 19:13:06	2015-08-11 19:13:06
158	paruline rayée	237668834752781774389232364008508055671	2015-08-11 19:13:06	2015-08-11 19:13:06
159	Pacific Reef Heron	94735849505633494004593990930141976326	2015-08-11 19:13:08	2015-08-11 19:13:08
160	Black-winged Kite	125020094992714566297543870991083391780	2015-08-11 19:13:08	2015-08-11 19:13:08
161	Eurasian Buntings	231974924621515165132842401931946654021	2015-08-11 19:13:08	2015-08-11 19:13:08
162	Red-headed Bunting	319068931150319812240737625843981595703	2015-08-11 19:13:08	2015-08-11 19:13:08
163	Little Bunting	276133333343210644627180439821064026329	2015-08-11 19:13:09	2015-08-11 19:13:09
164	Chestnut Bunting	314442716940679209979993816571440958926	2015-08-11 19:13:09	2015-08-11 19:13:09
165	Horned Lark	74216305470113767296835655703076630586	2015-08-11 19:13:09	2015-08-11 19:13:09
166	alouette hausse-col	265835747447890895783981279103950064845	2015-08-11 19:13:10	2015-08-11 19:13:10
167	Alondra cornuda	76309344646002366585820336705514942687	2015-08-11 19:13:10	2015-08-11 19:13:10
